,DataID,FEIN,EntityName,DateOfOrganization,ActiveFlag,CleanName,CoreName,Date,bostonFlag
1089574,00l4n6,001083459,"RMC FILM CAPITAL, LLC",07/12/2012,Y,RMC FILM CAPITAL LLC,RMC FILM CAPITAL,2012-07-12,False
628824,00hz9v,271145562,"RJ LEYDEN, LLC",12/08/2009,Y,RJ LEYDEN LLC,RJ LEYDEN,2009-12-08,False
777007,0066mq,000920679,RIVERWAY LJS LLC,03/31/2006,Y,RIVERWAY LJS LLC,RIVERWAY LJS,2006-03-31,False
1025445,00i1mg,000997061,RIVERBANK REALTY LLC,03/06/2009,Y,RIVERBANK REALTY LLC,RIVERBANK,2009-03-06,False
837921,00lhyy,461630184,RIVER STREET LJS LLC,12/26/2012,Y,RIVER ST LJS LLC,RIVER ST LJS,2012-12-26,False
587698,00f8iq,513218119,RIVER STREET REALTY CORP.,10/06/1995,N,RIVER ST REALTY CORPORATION,RIVER ST,1995-10-06,False
1178593,00l5kn,001084288,"RIVER SEVEN THREE ONE, LLC",07/25/2012,N,RIVER 731 LLC,RIVER 731,2012-07-25,False
1178590,00l5kk,001084285,"RIVER SEVEN TWENTY, LLC",07/25/2012,N,RIVER 720 LLC,RIVER 720,2012-07-25,False
1178598,00l5kr,001084292,"RIVER FOUR THIRTY, LLC",07/25/2012,N,RIVER 430 LLC,RIVER 430,2012-07-25,False
1178589,00l5kl,001084286,"RIVER TEN THIRTY SEVEN, LLC",07/25/2012,N,RIVER 137 LLC,RIVER 137,2012-07-25,False
1178583,00l5kf,001084281,"RIVER ONE NINETEEN, LLC",07/25/2012,N,RIVER 119 LLC,RIVER 119,2012-07-25,False
755409,00o6rb,001191135,"RIVA MANAGEMENT, LLC",09/28/2015,Y,RIVA MANAGEMENT LLC,RIVA,2015-09-28,False
478288,005us9,043325259,RIVA DEVELOPMENT CORPORATION,07/01/1996,Y,RIVA DEVELOPMENT CORPORATION,RIVA,1996-07-01,False
1161251,00fy0v,001033597,RISING TIDE INVESTMENTS LLC,08/03/2010,Y,RISING TIDE INVESTMENTS LLC,RISING TIDE,2010-08-03,False
952978,00hi5u,274847972,"RINGABELL REALTY, LLC",01/21/2011,N,RINGABELL REALTY LLC,RINGABELL,2011-01-21,False
55562,00dx8y,043483150,RILEY-MERRILL LLC,09/20/1999,Y,RILEY MERRILL LLC,RILEY MERRILL,1999-09-20,False
1254130,00eps0,272357339,RIDGEMONT STREET 62 ASSOCIATES LLC,04/16/2010,N,RIDGEMONT ST 62 ASSOCIATION LLC,RIDGEMONT ST 62,2010-04-16,False
1058398,00m54i,001115830,RIDGECREST VILLAGE LLC,09-09-2013,Y,RIDGECREST VILLAGE LLC,RIDGECREST VILLAGE,2013-09-09,False
40842,00dg3d,043411197,RIDGECREST TERRACE LLC,12/29/1997,Y,RIDGECREST TERRACE LLC,RIDGECREST TERRACE,1997-12-29,False
796243,00h7xj,205329427,"RICHMOND PROPERTY, LLC",08/07/2006,Y,RICHMOND PROPERTIES LLC,RICHMOND,2006-08-07,False
932630,00kldm,453947098,RICHFIELD STREET LLC,12/01/2011,Y,RICHFIELD ST LLC,RICHFIELD ST,2011-12-01,False
583720,00k68i,042659495,"RICHARD & KAM, INC.",12/06/1977,Y,RICHARD AND KAM INC,RICHARD AND KAM,1977-12-06,False
1165722,00u7bm,001434413,RICCI REAL ESTATE INVESTMENTS LLC,04/15/2020,Y,RICCI REAL ESTATE INVESTMENTS LLC,RICCI,2020-04-15,False
1104579,00lzfr,001111053,RHYNO DEVELOPMENTS LLC,07/02/2013,N,RHYNO DEVELOPMENT LLC,RHYNO,2013-07-02,False
1197978,00mhzz,001127094,RHS HOLDINGS INCORPORATED,01/29/2014,N,RHS HOLDINGS INC,RHS,2014-01-29,False
829929,0032hf,001001299,"RH LAND TRUST, LLC",05/01/2009,Y,RH LAND TRUST LLC,RH LAND,2009-05-01,False
723120,00ngb6,001156930,"REVIR HOLDINGS, LLC",01/09/2015,N,REVIR HOLDINGS LLC,REVIR,2015-01-09,False
738330,00emqy,043494692,REVERSO LLC,02/23/2007,N,REVERSO LLC,REVERSO,2007-02-23,False
61927,00fin4,043564181,"REVERE STREET, LLC",05/30/2001,Y,REVERE ST LLC,REVERE ST,2001-05-30,False
709684,00bbvs,010757445,RETALS LLC,10/29/2004,Y,RETALS LLC,RETALS,2004-10-29,False
140604,0028lx,043166808,"RESIDENCIA BETANCES, INC.",08/14/1992,Y,RESIDENCIA BETANCES INC,RESIDENCIA BETANCES,1992-08-14,False
626379,00ez03,261590901,"THE RESIDENCES AT NEPONSET FIELD, INC.",12/13/2007,Y,RESIDENCES AT NEPONSET FIELD INC,RESIDENCES AT NEPONSET FIELD,2007-12-13,False
514458,00dhm8,041767755,RESERVOIR MANOR CORP.,04/03/1939,Y,RESERVOIR MANOR CORPORATION,RESERVOIR MANOR,1939-04-03,False
868721,00itws,270334771,"REPURPOSE PS REALTY, LLC",05/08/2009,Y,REPURPOSE PS REALTY LLC,REPURPOSE PS,2009-05-08,False
992774,003iof,001050513,"REOCO, INC.",04/08/2011,Y,REOCO INC,REOCO,2011-04-08,False
20943,00ekqy,L92403915,RENWOOD-PWA LIMITED PARTNERSHIP,08/19/1992,Y,RENWOOD PWA LIMITED,RENWOOD PWA,1992-08-19,False
1038218,00l452,001082990,RENBRACK PROPERTIES LLC,07/05/2012,Y,RENBRACK PROPERTIES LLC,RENBRACK,2012-07-05,False
495919,00b2t4,000686184,"RENAISSANCE INVESTMENT, INC.",12/28/1999,N,RENAISSANCE INVESTMENTS INC,RENAISSANCE,1999-12-28,False
1193116,00m0in,001111983,"RELATED LOVEJOY RESIDENTIAL, LLC",07/17/2013,Y,RELATED LOVEJOY RESIDENTIAL LLC,RELATED LOVEJOY,2013-07-17,False
786082,00ldj9,001091466,"REIS PANORAMA REALTY MA, LLC",11/02/2012,Y,REIS PANORAMA REALTY MASSACHUSETTS LLC,REIS PANORAMA MASSACHUSETTS,2012-11-02,False
955815,00jpcg,263160854,REI HOLDINGS LLC,08/13/2008,N,REI HOLDINGS LLC,REI,2008-08-13,False
502236,00ce63,043362290,REGENCY BUILDING MANAGEMENT CORP.,04/02/1997,Y,REGENCY BUILDING MANAGEMENT CORPORATION,REGENCY BUILDING,1997-04-02,False
1077487,00juuj,001023766,"REGAN FAMILY SERIES, LLC",03/10/2010,Y,REGAN FAMILY SERIES LLC,REGAN FAMILY SERIES,2010-03-10,False
665873,00a3z6,043456431,"REGAL REAL ESTATE, LLC",12/12/2002,Y,REGAL REAL ESTATE LLC,REGAL,2002-12-12,False
706575,00c45h,000877468,"REEMARION FAMILY LIMITED PARTNERSHIP, THE",09/27/2004,Y,REEMARION FAMILY LIMITED,REEMARION FAMILY,2004-09-27,False
1225195,005t5f,271339144,REEM PROPERTY LLC,11/18/2009,Y,REEM PROPERTIES LLC,REEM,2009-11-18,False
57327,00e2al,043522135,"REDMONT REAL ESTATE, LLC",08/08/2000,Y,REDMONT REAL ESTATE LLC,REDMONT,2000-08-08,False
770890,00i6gr,000917994,"REDD HOLDINGS, LLC",03/01/2006,Y,REDD HOLDINGS LLC,REDD,2006-03-01,False
992563,00cado,275364092,RED-SIGN DESIGN BUILD DEVELOP LLC,03/22/2011,Y,RED SIGN DESIGN BUILD DEVELOPMENT LLC,RED SIGN DESIGN BUILD,2011-03-22,False
525804,00ga0v,043285028,RED GABLE CORP.,08/17/1995,N,RED GABLE CORPORATION,RED GABLE,1995-08-17,False
874101,00hwkp,000953656,"RED DOME REALTY II , LLC",06/13/2007,Y,RED DOME REALTY II LLC,RED DOME II,2007-06-13,False
475519,00a8si,043290710,"RECE, LTD.",11/01/1995,Y,RECE LIMITED,RECE,1995-11-01,False
1071074,0086zx,000989848,REBEL REAL ESTATE LLC,11/10/2008,Y,REBEL REAL ESTATE LLC,REBEL,2008-11-10,False
43881,00dkv9,043487280,REBAA L.L.C.,06/30/1999,Y,REBAA LLC,REBAA,1999-06-30,False
874667,00jbde,450665513,"RDBN REALTY, INC.",02/03/2011,N,RDBN REALTY INC,RDBN,2011-02-03,False
816924,00gzo9,270985869,"ROAD GLIDER ENTERPRISES, LLC",09-28-2009,Y,RD GLIDER ENTERPRISES LLC,RD GLIDER ENTERPRISES,2009-09-28,False
54325,00e1zf,043525677,"RBW, LLC",05/18/2000,Y,RBW LLC,RBW,2000-05-18,False
976281,00bokn,001005830,THE R B FAMILY LIMITED PARTNERSHIP,06-09-2009,Y,RB FAMILY LIMITED,RB FAMILY,2009-06-09,False
1049458,00lz1i,001110690,"RAWSON STREET, LLC",06/27/2013,N,RAWSON ST LLC,RAWSON ST,2013-06-27,False
234360,005dt9,042682016,"RAVEN ENTERPRISES,LTD.",08/21/1979,N,RAVEN ENTERPRISES LIMITED,RAVEN ENTERPRISES,1979-08-21,False
1164320,00lfxa,001093669,"RASTA BABY, LLC",12/05/2012,Y,RASTA BABY LLC,RASTA BABY,2012-12-05,False
898342,00ap0u,001037723,"RAMOS PROPERTIES II, LLC",10/07/2010,Y,RAMOS PROPERTIES II LLC,RAMOS II,2010-10-07,False
688093,00k3rw,000867066,"RAMOS PROPERTIES, L.L.C.",05/03/2004,Y,RAMOS PROPERTIES LLC,RAMOS,2004-05-03,False
1049560,00lyvk,463059503,RAINING COMBOS LLC,06/28/2013,N,RAINING COMBOS LLC,RAINING COMBOS,2013-06-28,False
936235,005wut,562445429,"RAE DONOVAN PROPERTIES, LLC",02/19/2004,Y,RAE DONOVAN PROPERTIES LLC,RAE DONOVAN,2004-02-19,False
1194314,00ja3l,271300625,RADEAU PROPERTIES LLC,11/12/2009,Y,RADEAU PROPERTIES LLC,RADEAU,2009-11-12,False
1197722,00mhuv,001126969,RA-JO REALTY LLC,01/28/2014,Y,RA JO REALTY LLC,RA JO,2014-01-28,False
457695,003174,043208562,"R. CONTE CONSTRUCTION, INC.",10/18/1993,Y,R CONTE CONSTRUCTION INC,R CONTE CONSTRUCTION,1993-10-18,False
669220,00dan6,000834026,"R. BROOKS, INC.",01/21/2003,Y,R BROOKS INC,R BROOKS,2003-01-21,False
1237331,00s5o6,001356786,"R & S REALTY TRUST, LLC",11/28/2018,Y,R AND S REALTY TRUST LLC,R AND S,2018-11-28,False
62886,00fj6f,043568047,"R & G HOLDINGS, LLC",06/07/2001,N,R AND G HOLDINGS LLC,R AND G,2001-06-07,False
60086,00fiko,043565748,QUINT HOUSE LLC,06/14/2001,Y,QUINT HOUSE LLC,QUINT HOUSE,2001-06-14,False
1214338,00l69i,001084935,QUINT  REALTY  LLC,08/02/2012,Y,QUINT REALTY LLC,QUINT,2012-08-02,False
730405,00n1iz,001143871,QUINDI LLC,08/07/2014,N,QUINDI LLC,QUINDI,2014-08-07,False
777463,000shh,000920791,QUINCY TOWER PARTNERS LLC,04/03/2006,Y,QUINCY TOWER PARTNERS LLC,QUINCY TOWER,2006-04-03,False
957522,00hm5o,000985202,QUINCY HEIGHTS LIMITED PARTNERSHIP,08/28/2008,Y,QUINCY HEIGHTS LIMITED,QUINCY HEIGHTS,2008-08-28,False
17910,00ensw,L95502833,QUINCY-GENEVA IV HOUSING LIMITED PARTNERSHIP,05/31/1995,Y,QUINCY GENEVA IV HOUSING LIMITED,QUINCY GENEVA IV HOUSING,1995-05-31,False
38416,00dh1z,000614286,"QUIDMARK COMPANIES, L.L.C., THE",04/23/1998,N,QUIDMARK COMPANIES LLC,QUIDMARK COMPANIES,1998-04-23,False
1174923,00mrdm,001134995,QUEEN REALTY LLC,04/30/2014,Y,QUEEN REALTY LLC,QUEEN,2014-04-30,False
856658,00rbd3,001325454,"QUADRANGLE, LLC",04/30/2018,Y,QUADRANGLE LLC,QUADRANGLE,2018-04-30,False
476892,00a1cd,000588163,"QUACH, INC.",09/11/1997,Y,QUACH INC,QUACH,1997-09-11,False
786001,00ldgn,461638776,"QIANLONG MANAGEMENT, LLC",11/02/2012,N,QIANLONG MANAGEMENT LLC,QIANLONG,2012-11-02,False
29577,00ef9m,L86024633,Q-G II HOUSING LIMITED PARTNERSHIP,12/30/1986,Y,QG II HOUSING LIMITED,QG II HOUSING,1986-12-30,False
39040,00dis2,043441813,"PW PROPERTIES, LLC",11/12/1998,Y,PW PROPERTIES LLC,PW,1998-11-12,False
19593,00emg6,L93449430,PVR FAMILY LIMITED PARTNERSHIP,12/20/1993,Y,PVR FAMILY LIMITED,PVR FAMILY,1993-12-20,False
683880,00kf8z,001061322,PUTNAM SQUARE LLC,09/18/2011,Y,PUTNAM SQUARE LLC,PUTNAM,2011-09-18,False
459338,000hm6,042317886,"PUI LEUNG WONG, INC.",08/13/1962,N,PUI LEUNG WONG INC,PUI LEUNG WONG,1962-08-13,False
36315,00fkbm,L01751983,PUDDINGSTONE PROPERTIES LIMITED PARTNERSHIP,05/02/2001,Y,PUDDINGSTONE PROPERTIES LIMITED,PUDDINGSTONE,2001-05-02,False
992938,00muyd,001138136,PTC PROPERTIES LLC,06/03/2014,Y,PTC PROPERTIES LLC,PTC,2014-06-03,False
725795,00jgc1,000889411,PSI PARKER HILL AVENUE LLC,02/25/2005,Y,PSI PARKER HILL AVE LLC,PSI PARKER HILL AVE,2005-02-25,False
1024008,00kzvp,001079084,"PSI, LLC",05/14/2012,Y,PSI LLC,PSI,2012-05-14,False
1046972,00ls8t,001104736,"PSB, LLC",04/12/2013,Y,PSB LLC,PSB,2013-04-12,False
1278958,006uz4,320301294,PS LLC,02/03/2010,Y,PS LLC,PS,2010-02-03,False
744693,00s6vk,001358349,PROVIDENCE PROPERTIES LLC,12/10/2018,Y,PROVIDENCE PROPERTIES LLC,PROVIDENCE,2018-12-10,False
1178880,00l5th,455605485,"PROTEUS REAL ESTATE, LLC",07/27/2012,Y,PROTEUS REAL ESTATE LLC,PROTEUS,2012-07-27,False
932638,00klcs,001066072,"PROSPECTUS APARTMENTS, LLC",11/30/2011,N,PROSPECTUS APARTMENTS LLC,PROSPECTUS,2011-11-30,False
916891,00jzdr,272084978,PROJECT 77 LLC,05-17-2011,Y,PROJECT 77 LLC,PROJECT 77,2011-05-17,False
1208008,00layl,001089173,"PRO-VIDE COMPANY, LLC",10-01-2012,Y,PRO VIDE COMPANY LLC,PRO VIDE,2012-10-01,False
958105,00kyrn,455168946,"PRIORITY CAPITAL TRUST, LLC",04/30/2012,Y,PRIORITY CAPITAL TRUST LLC,PRIORITY CAPITAL,2012-04-30,False
642505,00jeiz,000804828,"PRINCETON STREET REALTY, LLC",11/28/2001,N,PRINCETON ST REALTY LLC,PRINCETON ST,2001-11-28,False
826733,009o6z,001061323,PRINCETON 200 LLC,09/18/2011,Y,PRINCETON 200 LLC,PRINCETON 200,2011-09-18,False
1118213,00ikjq,270477185,PRINCETON VENTURE LLC,07/02/2009,Y,PRINCETON VENTURE LLC,PRINCETON,2009-07-02,False
948965,001npy,000948035,PRINCETON PROPERTIES LLC,03/28/2007,N,PRINCETON PROPERTIES LLC,PRINCETON,2007-03-28,False
1115235,005i44,272069358,"PRINCECO, LLC",01/04/2010,Y,PRINCECO LLC,PRINCECO,2010-01-04,False
963713,00l2bc,455471925,"PRINCE CAPITAL, LLC",06/12/2012,Y,PRINCE CAPITAL LLC,PRINCE CAPITAL,2012-06-12,False
740167,00g1ml,123456789,"PRIME TIME PROPERTIES, INC.",06/16/2005,Y,PRIME TIME PROPERTIES INC,PRIME TIME,2005-06-16,False
639765,002n5k,043571668,"PRICE ROAD ASSOCIATES, LLC",10/11/2001,Y,PRICE RD ASSOCIATION LLC,PRICE RD,2001-10-11,False
1059583,00m5jc,001116171,PRG BD INVESTORS LLC,09/12/2013,Y,PRG BD INVESTORS LLC,PRG BD INVESTORS,2013-09-12,False
959288,00kz23,001078357,"PRES, LLC",05/03/2012,Y,PRESIDENT LLC,PRESIDENT,2012-05-03,False
881537,00munn,001137884,"PREMIER COUNTY PROPERTY DEVELOPMENT, LLC",05/30/2014,N,PREMIER COUNTY PROPERTIES DEVELOPMENT LLC,PREMIER COUNTY,2014-05-30,False
657369,00hbqw,000823078,"PREMIER DEVELOPMENT, INC.",08/06/2002,Y,PREMIER DEVELOPMENT INC,PREMIER,2002-08-06,False
1160813,003i0v,001033267,PRATT STREET 34 DEVELOPMENT LLC,07/28/2010,Y,PRATT ST 34 DEVELOPMENT LLC,PRATT ST 34,2010-07-28,False
58885,00fim3,043555520,"PRATT STREET, LLC",05/29/2001,Y,PRATT ST LLC,PRATT ST,2001-05-29,False
20160,00eq4l,L93425906,PRANG ESTATES ASSOCIATES LP,04/05/1993,Y,PRANG ESTATES ASSOCIATION LIMITED,PRANG ESTATES,1993-04-05,False
797201,00h1bd,320179078,"PR & PR, LLC",08/14/2006,Y,PR AND PR LLC,PR AND PR,2006-08-14,False
664184,00h9mi,001052445,PPC-LPC 316 HUNTINGTON AVENUE LIMITED PARTNERSHIP,05/06/2011,Y,PPC LPC 316 HUNTINGTON AVE LIMITED,PPC LPC 316 HUNTINGTON AVE,2011-05-06,False
1214917,00ms5b,465598773,"POWERSTANCE, LLC",05/07/2014,Y,POWERSTANCE LLC,POWERSTANCE,2014-05-07,False
1161376,00is9r,001033737,POWDERLY LLC,08/04/2010,Y,POWDERLY LLC,POWDERLY,2010-08-04,False
1161657,00m6fd,463711014,POSH PADS LLC,09/25/2013,N,POSH PADS LLC,POSH PADS,2013-09-25,False
853866,00deea,000946956,"POPPONESSET BEACH REALTY, LLC",03/15/2007,Y,POPPONESSET BEACH REALTY LLC,POPPONESSET BEACH,2007-03-15,False
322170,0084e9,002406594,"PONTIAKI ESTIA OF MASSACHUSETTS, INC.",05/21/1970,Y,PONTIAKI ESTIA OF MASSACHUSETTS INC,PONTIAKI ESTIA OF MASSACHUSETTS,1970-05-21,False
62740,00ffcf,043514054,PONTIAC LLC,04/27/2000,Y,PONTIAC LLC,PONTIAC,2000-04-27,False
12893,00e1op,L99678560,PONDVIEW JP LIMITED PARTNERSHIP,10/28/1999,Y,PONDVIEW JP LIMITED,PONDVIEW JP,1999-10-28,False
688348,00h9hx,013365031,PONDVIEW PROPERTIES L.L.C.,05/05/2004,N,PONDVIEW PROPERTIES LLC,PONDVIEW,2004-05-05,False
1016012,005qlb,000952365,"POND ASSOCIATES, LLC",05/24/2007,Y,POND ASSOCIATION LLC,POND,2007-05-24,False
976891,00lujj,001106737,"POMPEII STREET REALTY, LLC",05/08/2013,Y,POMPEII ST REALTY LLC,POMPEII ST,2013-05-08,False
897091,00ghi8,272928739,PMTA HOLDINGS LLC,06/28/2010,Y,PMTA HOLDINGS LLC,PMTA,2010-06-28,False
622091,001jz8,273169983,"PL PROPERTIES III, LLC",12/22/2006,Y,PL PROPERTIES III LLC,PL III,2006-12-22,False
997332,0097o8,001056170,PKSR LLC,06/28/2011,Y,PKSR LLC,PKSR,2011-06-28,False
966138,00l3tg,455464932,"PJMC PROPERTY, LLC",06/30/2012,Y,PJMC PROPERTIES LLC,PJMC,2012-06-30,False
474891,0061iw,043087665,"PIZZUTI FAMILY, INC.",06/01/1990,Y,PIZZUTI FAMILY INC,PIZZUTI FAMILY,1990-06-01,False
669956,00iat4,043743356,"PINEWOOD APTS., LLC",01-27-2003,Y,PINEWOOD APARTMENTS LLC,PINEWOOD,2003-01-27,False
341452,008n55,311642552,"PINE STREET INN HOUSING II, INC.",01/22/1999,Y,PINE ST INN HOUSING II INC,PINE ST INN HOUSING II,1999-01-22,False
265098,0065d3,042516093,"PINE STREET INN, INC.",03/06/1973,Y,PINE ST INN INC,PINE ST INN,1973-03-06,False
748701,005t86,203355791,"PINCKNEY STREET, LLC",08/19/2005,Y,PINCKNEY ST LLC,PINCKNEY ST,2005-08-19,False
835566,00l2rn,001081731,PINCKNEY PRESCOTT LLC,06/18/2012,Y,PINCKNEY PRESCOTT LLC,PINCKNEY PRESCOTT,2012-06-18,False
1093769,00lkho,001097901,"PIERSON PROPERTIES, LLC",01/21/2013,Y,PIERSON PROPERTIES LLC,PIERSON,2013-01-21,False
1236223,00mj29,464770712,PIERCE STREET LLC,02/10/2014,N,PIERCE ST LLC,PIERCE ST,2014-02-10,False
16677,00euc4,L96524024,PIERCE LIMITED PARTNERSHIP,01-12-1996,N,PIERCE LIMITED,PIERCE,1996-01-12,False
794656,001fed,000930118,PIEDMONT 48 STREET LLC,08/01/2006,N,PIEDMONT 48 ST LLC,PIEDMONT 48 ST,2006-08-01,False
630006,0011gv,001016316,"PIEDMONT INVESTMENTS, LLC",11/23/2009,Y,PIEDMONT INVESTMENTS LLC,PIEDMONT,2009-11-23,False
1168020,00bonw,000971221,PICKLE-DITSON PHASE II LIMITED PARTNERSHIP,02/13/2008,Y,PICKLE DITSON PHASE II LIMITED,PICKLE DITSON PHASE II,2008-02-13,False
914979,00jb2x,200111613,"PICCA PROPERTIES, L.L.C.",07/30/2003,Y,PICCA PROPERTIES LLC,PICCA,2003-07-30,False
1213666,00j5y7,001058586,PICA HOLDINGS LLC,08-03-2011,Y,PICA HOLDINGS LLC,PICA,2011-08-03,False
27963,00echq,L86314032,PIANO CRAFT GUILD ASSOCIATES LIMITED PARTNERSHIP,11/16/1972,Y,PIANO CRAFT GUILD ASSOCIATION LIMITED,PIANO CRAFT GUILD,1972-11-16,False
995498,00rld9,001336440,PHILLIPS COURT LLC,07/12/2018,Y,PHILLIPS COURT LLC,PHILLIPS COURT,2018-07-12,False
22487,00ehhs,L89320406,PHILLIPS BROOKS SCHOOL LIMITED PARTNERSHIP,12/15/1989,Y,PHILLIPS BROOKS SCHOOL LIMITED,PHILLIPS BROOKS SCHOOL,1989-12-15,False
1238080,00u7t9,001435049,"PHILLIPS, LLC",04/21/2020,Y,PHILLIPS LLC,PHILLIPS,2020-04-21,False
3911,00f4kq,T00004966,PHILLIPS REALTY TRUST,04/01/1970,Y,PHILLIPS REALTY TRUST,PHILLIPS,1970-04-01,False
686411,001ojr,562453508,PHIA REALTY LLC,04-20-2004,Y,PHIA REALTY LLC,PHIA,2004-04-20,False
941837,00kqyf,001071229,PHELLARISIMO LLC,02/07/2012,Y,PHELLARISIMO LLC,PHELLARISIMO,2012-02-07,False
702573,00mvwz,471077619,PHAM HOLDING LLC,06/11/2014,Y,PHAM HOLDINGS LLC,PHAM,2014-06-11,False
557308,00htad,043221278,"P. F. HOLDINGS, INC.",02/16/1994,Y,PF HOLDINGS INC,PF,1994-02-16,False
497969,00bacg,043268700,"PETERBRIDGE, INC.",03/24/1995,Y,PETERBRIDGE INC,PETERBRIDGE,1995-03-24,False
676531,004cui,113686163,PETERAM COMPANY LLC,04/25/2003,Y,PETERAM COMPANY LLC,PETERAM,2003-04-25,False
888282,00mx0w,001139948,"PETER PAN PROPERTIES, LLC",06/23/2014,Y,PETER PAN PROPERTIES LLC,PETER PAN,2014-06-23,False
153340,002ifh,043144786,"PETER FANEUIL DEVELOPMENT GROUP, INC.",06/12/1991,Y,PETER FANEUIL DEVELOPMENT GROUP INC,PETER FANEUIL,1991-06-12,False
650475,00hknj,010658180,"PETER ALEXANDER PROPERTIES I, LLC",03/29/2002,N,PETER ALEXANDER PROPERTIES I LLC,PETER ALEXANDER I,2002-03-29,False
750406,006kaj,203396808,PERSISTENCE PROPERTY LLC,08/31/2005,Y,PERSISTENCE PROPERTIES LLC,PERSISTENCE,2005-08-31,False
1058373,00m55f,001115856,PERHAMDALE VILLAGE REALTY LLC,09/09/2013,N,PERHAMDALE VILLAGE REALTY LLC,PERHAMDALE VILLAGE,2013-09-09,False
972138,00lofc,001101367,PERCIVAL HOLDINGS LLC,03/05/2013,N,PERCIVAL HOLDINGS LLC,PERCIVAL,2013-03-05,False
57264,00e1ww,043522312,PENTALOFOS L.L.C.,07/10/2000,Y,PENTALOFOS LLC,PENTALOFOS,2000-07-10,False
678673,00jot5,000943805,PENINSULA HOUSING ASSOCIATES II LLC,02/05/2007,Y,PENINSULA HOUSING ASSOCIATION II LLC,PENINSULA HOUSING II,2007-02-05,False
702826,00enl7,201337196,PENINSULA HOUSING I LLC,07/21/2004,Y,PENINSULA HOUSING I LLC,PENINSULA HOUSING I,2004-07-21,False
1111431,001wi0,264499743,"PEKK GOLD STREET REALTY, LLC",03/20/2009,Y,PEKK GOLD ST REALTY LLC,PEKK GOLD ST,2009-03-20,False
62772,00ffi7,043505967,"PEGASUS REAL ESTATE, LLC",02/23/2000,N,PEGASUS REAL ESTATE LLC,PEGASUS,2000-02-23,False
54887,00dwvm,043483391,PED REALTY LLC,09/03/1999,Y,PED REALTY LLC,PED,1999-09-03,False
1003025,00kkc8,453991097,"PEARSTOWN DEVELOPMENT, LLC",11/15/2011,Y,PEARSTOWN DEVELOPMENT LLC,PEARSTOWN,2011-11-15,False
639057,000wq1,001035222,PEARSON REALTY LLC,08/27/2010,Y,PEARSON REALTY LLC,PEARSON,2010-08-27,False
1264408,00mdh1,464273026,"PEAK HOUSE, LLC",12/12/2013,Y,PEAK HOUSE LLC,PEAK HOUSE,2013-12-12,False
1208599,00lbc0,461130308,PEACEFUL CORNER LLC,10/05/2012,N,PEACEFUL CORNER LLC,PEACEFUL CORNER,2012-10-05,False
1187127,00mcal,001122033,"PEABODY SQUARE LOFTS, LLC",11/29/2013,Y,PEABODY SQUARE LOFTS LLC,PEABODY LOFTS,2013-11-29,False
680636,00icud,040787420,"PDJM, LLC",06/12/2003,Y,PDJM LLC,PDJM,2003-06-12,False
922743,00kgkp,001061720,"PD&J REALTY, LLC",09/23/2011,N,PDANDJ REALTY LLC,PDANDJ,2011-09-23,False
668286,006nrn,039486190,"PD LAND TRUST, LLC",01/08/2003,Y,PD LAND TRUST LLC,PD LAND,2003-01-08,False
491314,008ckr,043518437,"PCL, INC.",06/07/2000,Y,PCL INC,PCL,2000-06-07,False
633760,00q097,001275234,PCI HOLDINGS LLC,05/23/2017,Y,PCI HOLDINGS LLC,PCI,2017-05-23,False
828599,00kn70,454105535,"P.C., LLC",12/22/2011,Y,PC LLC,PC,2011-12-22,False
776277,00ici3,000920292,PBP DEVELOPMENT LLC,03/26/2006,Y,PBP DEVELOPMENT LLC,PBP,2006-03-26,False
926747,00f4xm,000853913,"PAZZOL I, LLC",11/12/2003,Y,PAZZOL I LLC,PAZZOL I,2003-11-12,False
148251,00237f,043206160,"PAZ PROPERTIES, INC.",09/21/1993,Y,PAZ PROPERTIES INC,PAZ,1993-09-21,False
1219900,00n06e,001142657,"PAVIA PROPERTIES, LLC",07/25/2014,Y,PAVIA PROPERTIES LLC,PAVIA,2014-07-25,False
1164551,00lg4p,001093845,PAULINE FAMILY LIMITED PARTNERSHIP,12/07/2012,N,PAULINE FAMILY LIMITED,PAULINE FAMILY,2012-12-07,False
964774,00l3fv,001082348,"PAULI REALTY, LLC",06/26/2012,Y,PAULI REALTY LLC,PAULI,2012-06-26,False
261334,006433,042540902,"PAUL LOUIS, INC.",04/26/1974,N,PAUL LOUIS INC,PAUL LOUIS,1974-04-26,False
411246,00cdd5,000048865,"PAUL JOSEPH SERVICES, INC.",05/01/1972,N,PAUL JOSEPH SERVICES INC,PAUL JOSEPH,1972-05-01,False
727223,005wpb,202458921,"PAUL GORE STREET LLC, THE",03/09/2005,N,PAUL GORE ST LLC,PAUL GORE ST,2005-03-09,False
753780,00bd44,000907118,"PATTOM, LLC",10/07/2005,Y,PATTOM LLC,PATTOM,2005-10-07,False
1176727,00mzkt,001142149,"PATRIOT HOLDINGS, LLC",07/18/2014,N,PATRIOT HOLDINGS LLC,PATRIOT,2014-07-18,False
965249,00i8o6,000988571,PATRIDA LLC,10/21/2008,Y,PATRIDA LLC,PATRIDA,2008-10-21,False
642436,009q7d,043851260,"PATRICIA A. CALLAGHAN REALTY, LLC",11/28/2001,Y,PATRICIA A CALLAGHAN REALTY LLC,PATRICIA A CALLAGHAN,2001-11-28,False
